Exporter_Address Last_Active Status Interfaces Utilization_In Utilization_Out Current_Input_Rate_fps Max_Input_Rate_fps Avg_Input_Rate_fps NetFlow_Version Total_NetFlow_Packets Total_Flows Total_Duplicates Longest_Duration Inactive_Time_Detected Insane_PDU_Time_Detected Insane_Pkts_Octets_Time_Detected Insane_Protocol_Dst_Address_Time_Detected Insane_Flow_Times_Detected PDU_Time PO_Packets PO_Octets PO_Protocol PO_Src_Address PO_Dst_Address PO_First PO_Last PD_Packets PD_Octets PD_Protocol PD_Src_Address PD_Dst_Address PD_First PD_Last FT_Packets FT_Octets FT_Protocol FT_Src_Address FT_Dst_Address FT_First FT_Last IV_Time ID_Time Current_NetFlow_bps Maximum_NetFlow_bps Average_NetFlow_bps
10.206.0.244 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0.0.0 0.0.0.0 0 0 0 0 0 0.0.0.0 0.0.0.0 0 0 0 0 0 0.0.0.0 0.0.0.0 0 0 0 0 0 0 0
172.16.16.2 1600207199 1 8 3 3 105 198 106 9 390668 6848976 3116710 61 0 1600207199 0 0 0 1355304011 0 0 0 0.0.0.0 0.0.0.0 0 0 0 0 0 0.0.0.0 0.0.0.0 0 0 0 0 0 0.0.0.0 0.0.0.0 0 0 0 0 56776 121856 61800
172.16.16.1 1600207199 1 16 3 1 183 740 264 9 585258 17064127 12837158 72 0 1600207199 0 0 0 1293014103 0 0 0 0.0.0.0 0.0.0.0 0 0 0 0 0 0.0.0.0 0.0.0.0 0 0 0 0 0 0.0.0.0 0.0.0.0 0 0 0 0 65728 267088 95424
172.16.16.50 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0.0.0 0.0.0.0 0 0 0 0 0 0.0.0.0 0.0.0.0 0 0 0 0 0 0.0.0.0 0.0.0.0 0 0 0 0 0 0 0
10.206.0.245 1600207196 1 17 0 0 1 1 1 9 11192 13483 0 1800 0 1600207196 0 0 0 1600177340 0 0 0 0.0.0.0 0.0.0.0 0 0 0 0 0 0.0.0.0 0.0.0.0 0 0 0 0 0 0.0.0.0 0.0.0.0 0 0 0 0 216 432 224
172.16.16.3 1600207199 1 34 0 0 66 248 99 9 435363 6387699 4775412 62 0 1600207199 0 0 0 1355304011 0 0 0 0.0.0.0 0.0.0.0 0 0 0 0 0 0.0.0.0 0.0.0.0 0 0 0 0 0 0.0.0.0 0.0.0.0 0 0 0 0 27912 188040 73936
172.16.16.5 1600207141 0 1 0 0 0 5 1 10 3384 23184 0 55 0 0 0 0 0 0 0 0 0 0.0.0.0 0.0.0.0 0 0 0 0 0 0.0.0.0 0.0.0.0 0 0 0 0 0 0.0.0.0 0.0.0.0 0 0 0 0 0 3256 552
10.206.0.71 1600207140 0 0 0 0 0 0 0 0 8632 0 0 0 0 0 0 0 0 0 0 0 0 0.0.0.0 0.0.0.0 0 0 0 0 0 0.0.0.0 0.0.0.0 0 0 0 0 0 0.0.0.0 0.0.0.0 0 0 0 0 416 840 416
172.16.16.25 1600206661 1 3 0 0 0 17 7 9 524967 450150 9120 15 0 1600206598 0 0 0 1455143050 0 0 0 0.0.0.0 0.0.0.0 0 0 0 0 0 0.0.0.0 0.0.0.0 0 0 0 0 0 0.0.0.0 0.0.0.0 0 0 0 0 0 115248 36752
10.250.250.250 1600207196 9 1 0 0 2 17 6 9 417330 379620 9293 71 0 1600207196 0 0 0 1502320620 0 0 0 0.0.0.0 0.0.0.0 0 0 0 0 0 0.0.0.0 0.0.0.0 0 0 0 0 0 0.0.0.0 0.0.0.0 0 0 0 1600205917 56888 142336 64312
10.201.3.40 1600206927 8 0 0 0 0 0 0 0 170601 0 0 0 0 0 0 0 0 0 0 0 0 0.0.0.0 0.0.0.0 0 0 0 0 0 0.0.0.0 0.0.0.0 0 0 0 0 0 0.0.0.0 0.0.0.0 0 0 0 1600206927 0 19296 5256
10.100.0.4 1600201021 2 4 0 0 0 214 1 10 3260 48190 24125 0 1600201021 0 0 0 0 0 0 0 0 0.0.0.0 0.0.0.0 0 0 0 0 0 0.0.0.0 0.0.0.0 0 0 0 0 0 0.0.0.0 0.0.0.0 0 0 0 0 0 161104 560
10.90.88.9 1600207199 0 36 0 0 0 75 7 10 322367 447092 4 0 0 0 0 0 0 1293013368 0 0 0 0.0.0.0 0.0.0.0 0 0 0 0 0 0.0.0.0 0.0.0.0 0 0 0 0 0 0.0.0.0 0.0.0.0 0 0 0 0 35536 47624 32472
10.207.1.253 1600207197 0 3 0 0 7 54 9 9 54408 582933 0 62 0 0 0 0 0 0 0 0 0 0.0.0.0 0.0.0.0 0 0 0 0 0 0.0.0.0 0.0.0.0 0 0 0 0 0 0.0.0.0 0.0.0.0 0 0 0 0 5080 48144 7360
10.206.0.53 1600207199 0 79 3 0 253 1145 460 10 2231052 29743854 356019 1800 0 0 0 0 0 0 0 0 0 0.0.0.0 0.0.0.0 0 0 0 0 0 0.0.0.0 0.0.0.0 0 0 0 0 0 0.0.0.0 0.0.0.0 0 0 0 0 243016 1186696 385104
