Exporter Address	Last Active	Status	Interfaces	Utilization In	Utilization Out	Current Input Rate fps	Max Input Rate fps	Avg Input Rate fps	NetFlow Version	Total NetFlow Packets	Total Flows	Total Duplicates	Longest Duration	Inactive Time Detected	Insane PDU Time Detected	Insane Pkts Octets Time Detected	Insane Protocol Dst Address Time Detected	Insane Flow Times Detected	PDU Time	PO Packets	PO Octets	PO Protocol	PO Src Address	PO Dst Address	PO First	PO Last	PD Packets	PD Octets	PD Protocol	PD Src Address	PD Dst Address	PD First	PD Last	FT Packets	FT Octets	FT Protocol	FT Src Address	FT Dst Address	FT First	FT Last	IV Time	ID Time	Current NetFlow bps	Maximum NetFlow bps	Average NetFlow bps
10.206.0.244	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0.0.0	0.0.0.0	0	0	0	0	0	0.0.0.0	0.0.0.0	0	0	0	0	0	0.0.0.0	0.0.0.0	0	0	0	0	0	0	0
172.16.16.2	1600201199	1	8	3	3	118	198	108	9	361655	6330034	2895234	61	0	1600201199	0	0	0	1355297508	0	0	0	0.0.0.0	0.0.0.0	0	0	0	0	0	0.0.0.0	0.0.0.0	0	0	0	0	0	0.0.0.0	0.0.0.0	0	0	0	0	62016	121856	63120
172.16.16.1	1600201198	1	16	4	3	225	740	268	9	539247	15754377	11818952	72	0	1600201198	0	0	0	1293012238	0	0	0	0.0.0.0	0.0.0.0	0	0	0	0	0	0.0.0.0	0.0.0.0	0	0	0	0	0	0.0.0.0	0.0.0.0	0	0	0	0	81456	267088	97088
172.16.16.50	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0.0.0	0.0.0.0	0	0	0	0	0	0.0.0.0	0.0.0.0	0	0	0	0	0	0.0.0.0	0.0.0.0	0	0	0	0	0	0	0
10.206.0.245	1600201193	1	17	0	0	1	1	1	9	10172	12269	0	31	0	1600201193	0	0	0	1600171336	0	0	0	0.0.0.0	0.0.0.0	0	0	0	0	0	0.0.0.0	0.0.0.0	0	0	0	0	0	0.0.0.0	0.0.0.0	0	0	0	0	168	432	224
172.16.16.3	1600201197	1	33	0	0	69	248	103	9	420966	6007283	4466082	61	0	1600201198	0	0	0	1293012237	0	0	0	0.0.0.0	0.0.0.0	0	0	0	0	0	0.0.0.0	0.0.0.0	0	0	0	0	0	0.0.0.0	0.0.0.0	0	0	0	0	29328	188040	78728
172.16.16.5	1600200841	0	1	0	0	0	5	1	10	3055	20930	0	55	0	0	0	0	0	0	0	0	0	0.0.0.0	0.0.0.0	0	0	0	0	0	0.0.0.0	0.0.0.0	0	0	0	0	0	0.0.0.0	0.0.0.0	0	0	0	0	0	3256	552
10.206.0.71	1600201140	0	0	0	0	0	0	0	0	7832	0	0	0	0	0	0	0	0	0	0	0	0	0.0.0.0	0.0.0.0	0	0	0	0	0	0.0.0.0	0.0.0.0	0	0	0	0	0	0.0.0.0	0.0.0.0	0	0	0	0	416	840	416
172.16.16.25	1600201199	1	3	0	0	8	17	7	9	487517	401896	9074	69	0	1600201199	0	0	0	1455142909	0	0	0	0.0.0.0	0.0.0.0	0	0	0	0	0	0.0.0.0	0.0.0.0	0	0	0	0	0	0.0.0.0	0.0.0.0	0	0	0	0	108488	115248	39712
10.250.250.250	1600201199	9	1	0	0	2	17	6	9	377981	344470	9098	71	0	1600201195	0	0	0	1502320620	0	0	0	0.0.0.0	0.0.0.0	0	0	0	0	0	0.0.0.0	0.0.0.0	0	0	0	0	0	0.0.0.0	0.0.0.0	0	0	0	1600201199	59320	142000	64272
10.201.3.40	1600201107	8	0	0	0	0	0	0	0	154851	0	0	0	0	0	0	0	0	0	0	0	0	0.0.0.0	0.0.0.0	0	0	0	0	0	0.0.0.0	0.0.0.0	0	0	0	0	0	0.0.0.0	0.0.0.0	0	0	0	1600201107	0	19296	5256
10.100.0.4	1600201021	0	4	0	0	0	214	1	10	3260	48190	24125	71	0	0	0	0	0	0	0	0	0	0.0.0.0	0.0.0.0	0	0	0	0	0	0.0.0.0	0.0.0.0	0	0	0	0	0	0.0.0.0	0.0.0.0	0	0	0	0	0	161104	616
10.90.88.9	1600201199	0	36	0	0	0	75	8	10	292635	447092	4	0	0	0	0	0	0	1293013368	0	0	0	0.0.0.0	0.0.0.0	0	0	0	0	0	0.0.0.0	0.0.0.0	0	0	0	0	0	0.0.0.0	0.0.0.0	0	0	0	0	26568	47624	32440
10.207.1.253	1600201198	0	3	0	0	9	54	9	9	49413	528652	0	62	0	0	0	0	0	0	0	0	0	0.0.0.0	0.0.0.0	0	0	0	0	0	0.0.0.0	0.0.0.0	0	0	0	0	0	0.0.0.0	0.0.0.0	0	0	0	0	7072	48144	7376
10.206.0.53	1600201197	0	79	5	0	349	1145	473	10	2070032	27760317	332752	1800	0	0	0	0	0	0	0	0	0	0.0.0.0	0.0.0.0	0	0	0	0	0	0.0.0.0	0.0.0.0	0	0	0	0	0	0.0.0.0	0.0.0.0	0	0	0	0	307512	1186696	393800
